emoticon_code,description,sentiment_category,emoticon_type
ʕ·͡ᴥ·ʔ﻿ /,con gấu,neutral,kaomoji
ۜ\(סּںסּَ` )/ۜ,cười,positive,kaomoji
ლ(ಠ益ಠლ),tức giận,negative,kaomoji
（,mồ hôi,neutral,western
!!Σ(ﾟДﾟ;≡ ≡≡≡≡ヾ(;ﾟдﾟ)/,đang chạy,neutral,kaomoji
!!Σ≡≡≡((っ`･Å･)っ,buồn,negative,kaomoji
!(*´∀｀*)尸”,đỏ mặt,neutral,kaomoji
!(^^)!,ngạc nhiên,neutral,kaomoji
!(♥/³/♥)/*,trái tim,positive,kaomoji
!(ﾉ｀◎´)ﾉ ρ ┳┷┳ﾟσ(￣○￣￣;;),nháy mắt,positive,kaomoji
!ε!),hôn,positive,western
"""˃̣̣̥ - ˂̣̣̥",khóc,negative,kaomoji
(   -  3-(◡‿◡✿),hoa,positive,kaomoji
(  •o•)/(ᵔ/ᴥ/ᵔU),chó,neutral,kaomoji
( *・∀・)ノ゛(≗ ᆽ ≗)^•ﻌ•^,con mèo,neutral,kaomoji
( .づ◡﹏◡ )づ.,ôm,positive,kaomoji
(*ゝω・)ﾉThanks!,cảm ơn,positive,kaomoji
(;ω;)Bye,tạm biệt,neutral,kaomoji
(@^^)/~~~,hoa hồng,positive,kaomoji
