emoticon_code,description,sentiment_category
ʕ·͡ᴥ·ʔ﻿ /,con gấu,neutral
ۜ\(סּںסּَ` )/ۜ,cười,positive
ლ(ಠ益ಠლ),tức giận,negative
（,mồ hôi,neutral
!!Σ(ﾟДﾟ;≡ ≡≡≡≡ヾ(;ﾟдﾟ)/,đang chạy,neutral
!!Σ≡≡≡((っ`･Å･)っ,buồn,negative
!(*´∀｀*)尸”,đỏ mặt,neutral
!(^^)!,ngạc nhiên,neutral
!(♥/³/♥)/*,trái tim,positive
!(ﾉ｀◎´)ﾉ ρ ┳┷┳ﾟσ(￣○￣￣;;),nháy mắt,positive
!ε!),hôn,positive
"""˃̣̣̥ - ˂̣̣̥",khóc,negative
(   -  3-(◡‿◡✿),hoa,positive
(  •o•)/(ᵔ/ᴥ/ᵔU),chó,neutral
( *・∀・)ノ゛(≗ ᆽ ≗)^•ﻌ•^,con mèo,neutral
( .づ◡﹏◡ )づ.,ôm,positive
(*ゝω・)ﾉThanks!,cảm ơn,positive
(;ω;)Bye,tạm biệt,neutral
(@^^)/~~~,hoa hồng,positive
